,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
73,no-support@fall-chance=0.05$robot-persuasion-factor=1000_13,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-1714437294,20,0,800,10,500,0.05,1000,2000,8,False,8967,536,14.0,[],[],0,True
74,no-support@fall-chance=0.05$robot-persuasion-factor=1000_14,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-1413363835,20,0,800,10,500,0.05,1000,2000,8,False,8967,533,13.32,[],[],0,True
75,no-support@fall-chance=0.05$robot-persuasion-factor=1000_15,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,1153484291,20,0,800,10,500,0.05,1000,2000,8,False,8967,515,14.13,[],[],0,True
76,no-support@fall-chance=0.05$robot-persuasion-factor=1000_16,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-1029802839,20,0,800,10,500,0.05,1000,2000,8,False,8967,534,14.2,[],[],0,True
77,no-support@fall-chance=0.05$robot-persuasion-factor=1000_17,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-1944440313,20,0,800,10,500,0.05,1000,2000,8,False,8967,545,47.91,[],[],0,True
78,no-support@fall-chance=0.05$robot-persuasion-factor=1000_18,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,38196769,20,0,800,10,500,0.05,1000,2000,8,False,8967,522,14.26,[],[],0,True
79,no-support@fall-chance=0.05$robot-persuasion-factor=1000_19,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,478676962,20,0,800,10,500,0.05,1000,2000,8,False,8967,281,12.0,[],[],0,True
80,no-support@fall-chance=0.2$robot-persuasion-factor=0_0,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1207807381,20,0,800,10,500,0.2,0,2000,8,False,8967,525,14.97,[],[],0,True
81,no-support@fall-chance=0.2$robot-persuasion-factor=0_1,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-792368376,20,0,800,10,500,0.2,0,2000,8,False,8967,1038,61.9,[],[],0,True
82,no-support@fall-chance=0.2$robot-persuasion-factor=0_2,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-20676663,20,0,800,10,500,0.2,0,2000,8,False,8967,1024,42.37,[],[],0,True
83,no-support@fall-chance=0.2$robot-persuasion-factor=0_3,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-66166063,20,0,800,10,500,0.2,0,2000,8,False,8967,512,13.96,[],[],0,True
84,no-support@fall-chance=0.2$robot-persuasion-factor=0_4,no-support@fall-chance=0.2$robot-persuasion-factor=0,,429628137,20,0,800,10,500,0.2,0,2000,8,False,8967,511,15.29,[],[],0,True
85,no-support@fall-chance=0.2$robot-persuasion-factor=0_5,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-799265193,20,0,800,10,500,0.2,0,2000,8,False,8967,521,14.85,[],[],0,True
86,no-support@fall-chance=0.2$robot-persuasion-factor=0_6,no-support@fall-chance=0.2$robot-persuasion-factor=0,,1783571257,20,0,800,10,500,0.2,0,2000,8,False,8967,515,15.25,[],[],0,True
87,no-support@fall-chance=0.2$robot-persuasion-factor=0_7,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1506790944,20,0,800,10,500,0.2,0,2000,8,False,8967,1046,51.32,[],[],0,True
88,no-support@fall-chance=0.2$robot-persuasion-factor=0_8,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-809848072,20,0,800,10,500,0.2,0,2000,8,False,8967,520,13.65,[],[],0,True
89,no-support@fall-chance=0.2$robot-persuasion-factor=0_9,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-614455004,20,0,800,10,500,0.2,0,2000,8,False,8967,372,12.54,[],[],0,True
90,no-support@fall-chance=0.2$robot-persuasion-factor=0_10,no-support@fall-chance=0.2$robot-persuasion-factor=0,,1828517127,20,0,800,10,500,0.2,0,2000,8,False,8967,542,14.31,[],[],0,True
